v,u,w,p
12.9209,0,0,-601.838
12.8809,-0.000801876,0.000330192,-602.424
12.8809,-0.002988,0.000414935,-602.307
12.8809,-0.00644858,0.000328385,-602.135
12.8809,-0.0111638,0.000239613,-602.057
12.8808,-0.0170904,0.000235599,-602.01
12.8808,-0.0242333,0.000232441,-602.01
12.8753,-0.0324552,0.000264052,-601.807
12.8595,-0.0412817,0.000314179,-601.502
12.8372,-0.0503952,0.000257352,-601.291
12.8257,-0.0595903,0.000282846,-601.206
12.8257,-0.068878,0.000311982,-601.041
12.8257,-0.0782014,0.000342074,-600.752
12.8257,-0.0875489,0.00037624,-600.409
12.8257,-0.0968646,0.000415541,-600.12
12.8257,-0.106204,0.000457974,-599.995
12.8257,-0.115418,0.000494836,-599.706
12.8257,-0.124529,0.000540109,-599.362
12.8257,-0.133588,0.000590149,-598.862
12.8257,-0.142605,0.000644687,-598.526
12.8256,-0.15167,0.000696392,-598.229
12.8256,-0.160772,0.000748197,-597.94
12.8256,-0.169961,0.000803822,-597.557
12.8256,-0.17919,0.000868054,-597.307
12.8255,-0.188527,0.000931898,-597.057
12.8255,-0.197965,0.000995021,-596.846
12.8254,-0.207883,0.00106131,-596.643
12.8254,-0.217956,0.00112897,-596.393
12.8253,-0.228302,0.00120218,-596.096
12.8252,-0.238919,0.00127713,-596.049
12.8251,-0.249733,0.00135119,-595.924
12.8251,-0.260798,0.00142179,-595.713
12.8196,-0.27215,0.00150159,-595.377
12.8014,-0.283741,0.00158324,-595.041
12.7784,-0.295561,0.00166498,-595.174
12.7544,-0.307627,0.00174922,-594.995
12.7543,-0.320018,0.00183244,-594.627
12.7543,-0.332637,0.00191926,-594.666
12.7542,-0.345332,0.00201169,-594.463
12.7541,-0.358233,0.00210166,-594.416
12.754,-0.371037,0.00219349,-594.245
12.7539,-0.383732,0.0022868,-594.127
12.7538,-0.396077,0.00238299,-594.127
12.7537,-0.407996,0.00248153,-593.916
12.7535,-0.419648,0.00258121,-593.831
12.7534,-0.431615,0.00268218,-593.745
12.7533,-0.443283,0.00278416,-593.659
12.7531,-0.454514,0.00288855,-593.581
12.753,-0.465423,0.00299454,-593.362
12.7528,-0.475935,0.00310437,-593.284
12.7526,-0.486281,0.00321287,-593.198
12.7525,-0.496907,0.00332365,-593.034
12.7523,-0.507123,0.00343442,-592.862
12.7521,-0.516983,0.00355177,-592.729
12.7519,-0.526523,0.00366589,-592.612
12.7517,-0.535776,0.0037806,-592.479
12.7515,-0.544798,0.00389847,-592.448
12.7513,-0.553689,0.00401779,-592.198
12.7511,-0.562733,0.00414123,-592.065
12.7508,-0.571517,0.00426276,-591.854
12.7506,-0.580033,0.00438668,-591.901
12.7503,-0.588381,0.00450992,-591.682
12.7501,-0.596465,0.00463359,-591.518
12.7498,-0.604402,0.00476251,-591.401
12.7495,-0.612171,0.00489168,-591.268
12.7492,-0.61992,0.00501771,-591.151
12.749,-0.627485,0.00514668,-590.979
12.7487,-0.634985,0.00527847,-590.846
12.7484,-0.642432,0.00541159,-590.768
12.748,-0.64995,0.00554429,-590.549
12.7477,-0.657813,0.0056763,-590.471
12.7403,-0.665695,0.00580799,-590.346
12.7255,-0.673677,0.00594315,-590.096
12.7086,-0.682292,0.00607968,-589.963
12.6905,-0.690996,0.00621424,-589.885
12.6718,-0.699961,0.00634486,-589.885
12.6609,-0.708888,0.00647799,-589.799
12.6606,-0.718009,0.00661417,-589.752
12.6603,-0.727624,0.00671337,-589.588
12.66,-0.737421,0.00680576,-589.385
12.6596,-0.747428,0.00693926,-589.135
12.6593,-0.757438,0.00707318,-588.885
12.6589,-0.767557,0.00721534,-588.752
12.6585,-0.777674,0.00734859,-588.666
12.6581,-0.787925,0.00748833,-588.502
12.6577,-0.798171,0.00762046,-588.456
12.6573,-0.808462,0.00776009,-588.284
12.6569,-0.818881,0.00789705,-588.081
12.6565,-0.829246,0.00803568,-588.034
12.6561,-0.839574,0.00817017,-587.916
12.6556,-0.849801,0.00830762,-587.784
12.6552,-0.859914,0.00844343,-587.573
12.6547,-0.869815,0.00858017,-587.448
12.6543,-0.879613,0.00871694,-587.284
12.6538,-0.889226,0.00885056,-587.323
12.6533,-0.898592,0.00898202,-587.073
12.6528,-0.907729,0.00911613,-586.87
12.6523,-0.916714,0.00925331,-586.87
12.6518,-0.925448,0.00938435,-586.737
12.6512,-0.933986,0.00951238,-586.518
12.6507,-0.942256,0.00964199,-586.401
12.6501,-0.950343,0.00977148,-586.268
12.6496,-0.958186,0.00990197,-586.19
12.649,-0.965858,0.0100262,-586.018
12.6484,-0.973319,0.0101521,-585.901
12.6478,-0.980574,0.0102739,-585.69
12.6472,-0.987915,0.0104005,-585.604
12.6466,-0.995104,0.010522,-585.604
12.646,-1.00216,0.0106413,-585.354
12.6453,-1.00897,0.0107621,-585.221
12.6447,-1.01561,0.0108995,-585.057
12.644,-1.02204,0.0110387,-584.971
12.6433,-1.02831,0.0111767,-584.854
12.6426,-1.03439,0.0113158,-584.721
12.6419,-1.04035,0.0114514,-584.604
12.6412,-1.04609,0.0115933,-584.385
12.6405,-1.05176,0.0117312,-584.338
12.6398,-1.05733,0.0118719,-584.221
12.639,-1.0627,0.0120104,-584.057
12.6383,-1.06802,0.0121515,-583.971
12.6375,-1.0732,0.0122904,-583.807
12.6368,-1.07834,0.0124326,-583.635
12.636,-1.08332,0.0125752,-583.588
12.6352,-1.08826,0.012712,-583.424
12.6343,-1.09324,0.0128521,-583.252
12.6335,-1.09842,0.0129913,-583.174
12.6328,-1.10362,0.0131314,-582.956
12.632,-1.10877,0.0132282,-582.877
12.6312,-1.1139,0.0133668,-582.706
12.6304,-1.11901,0.0135051,-582.706
12.6296,-1.12413,0.0136428,-582.502
12.6288,-1.12919,0.0137776,-582.37
12.6279,-1.13436,0.0139118,-582.206
12.6271,-1.13943,0.0140441,-582.073
12.6262,-1.14457,0.0141548,-581.995
12.6254,-1.15021,0.0142837,-581.823
12.6245,-1.15592,0.0144086,-581.745
12.6236,-1.16165,0.0145726,-581.573
12.6227,-1.16743,0.0146926,-581.495
12.6218,-1.17322,0.0148121,-581.323
12.6209,-1.17896,0.0149282,-581.237
12.6199,-1.18478,0.0150395,-581.073
12.6104,-1.19059,0.0151517,-580.987
12.5992,-1.19649,0.0152586,-580.862
12.5879,-1.20255,0.0153657,-580.737
12.5766,-1.20906,0.0154687,-580.69
12.5653,-1.21558,0.0155709,-580.659
12.554,-1.22213,0.0156676,-580.526
12.5427,-1.22867,0.0157628,-580.323
12.5315,-1.23531,0.0157941,-580.276
12.5203,-1.24193,0.0157873,-580.057
12.514,-1.2486,0.0157819,-579.807
12.513,-1.25525,0.0158699,-579.776
12.5121,-1.26197,0.0159551,-579.643
12.5112,-1.26867,0.0160424,-579.557
12.5102,-1.27532,0.0161239,-579.354
12.5092,-1.28231,0.016207,-579.276
12.5082,-1.28946,0.0162908,-579.096
12.5072,-1.29663,0.0163696,-578.979
12.5062,-1.30371,0.0164494,-578.76
12.5052,-1.31088,0.0165314,-578.729
12.5042,-1.31802,0.0166066,-578.596
12.5031,-1.32505,0.0166821,-578.471
12.5021,-1.33205,0.0167576,-578.346
12.501,-1.33905,0.0168296,-578.174
12.4999,-1.34595,0.0169138,-578.049
12.4988,-1.35282,0.0170053,-578.049
12.4977,-1.35955,0.0170876,-577.877
12.4966,-1.36626,0.0171792,-577.713
12.4955,-1.37287,0.0172639,-577.51
12.4943,-1.37929,0.0173483,-577.51
12.4932,-1.38572,0.0174306,-577.377
12.492,-1.39202,0.0175078,-577.174
12.4908,-1.3982,0.017585,-577.01
12.4896,-1.40425,0.0176678,-576.916
12.4884,-1.41017,0.0177424,-576.831
12.4872,-1.416,0.0178186,-576.713
12.4859,-1.42173,0.0178917,-576.581
12.4847,-1.42731,0.0179658,-576.416
12.4834,-1.43278,0.0180395,-576.377
12.4821,-1.4381,0.0181157,-576.213
12.4808,-1.44336,0.018185,-576.081
12.4795,-1.44851,0.0182523,-575.995
12.4782,-1.45348,0.0183426,-575.784
12.4769,-1.45834,0.0184616,-575.698
12.4755,-1.46306,0.0185756,-575.581
12.4742,-1.46768,0.018688,-575.534
12.4728,-1.47214,0.0188046,-575.331
12.4714,-1.47653,0.0188791,-575.198
12.47,-1.48079,0.0190068,-575.081
12.4686,-1.48489,0.0191207,-574.995
12.4672,-1.48889,0.0192494,-574.862
12.4657,-1.49277,0.0193723,-574.776
12.4643,-1.49654,0.0194946,-574.612
12.4628,-1.50017,0.0196117,-574.526
12.4613,-1.50373,0.0197269,-574.362
12.4598,-1.50716,0.0198368,-574.229
12.4583,-1.51047,0.0199471,-574.112
12.4568,-1.51368,0.0200513,-574.026
12.4552,-1.51685,0.0201531,-573.901
12.4537,-1.51979,0.0202528,-573.815
12.4521,-1.52271,0.0203461,-573.651
12.4505,-1.5255,0.0204382,-573.479
12.4489,-1.52823,0.0205269,-573.393
12.4473,-1.53082,0.0206137,-573.268
12.4457,-1.53334,0.0206974,-573.182
12.4441,-1.5358,0.0207791,-573.065
12.4424,-1.53814,0.0208702,-572.893
12.4407,-1.54038,0.0209633,-572.768
12.4391,-1.54257,0.0210511,-572.682
12.4374,-1.5447,0.0211387,-572.549
12.4356,-1.54676,0.0212247,-572.463
12.4339,-1.54873,0.0213094,-572.346
12.4322,-1.55065,0.0213921,-572.182
12.4304,-1.55276,0.0214722,-572.096
12.4287,-1.55488,0.021548,-571.963
12.4269,-1.55689,0.0216635,-571.932
12.4251,-1.55891,0.0218205,-571.713
12.4233,-1.56084,0.0219751,-571.666
12.4214,-1.56276,0.0221255,-571.502
12.4196,-1.56457,0.022273,-571.463
12.4178,-1.56638,0.0224219,-571.299
12.4159,-1.56816,0.0225592,-571.166
12.414,-1.56989,0.0227043,-571.049
12.4121,-1.57163,0.0228397,-570.885
12.4102,-1.57333,0.0229764,-570.831
12.4083,-1.57495,0.0231101,-570.666
12.4063,-1.57659,0.0232382,-570.62
12.4044,-1.57815,0.0233659,-570.416
12.4024,-1.5797,0.0234846,-570.37
12.4004,-1.58126,0.0236071,-570.206
12.3984,-1.58317,0.0237818,-570.034
12.3964,-1.58514,0.0239548,-569.916
12.3944,-1.5871,0.0241292,-569.784
12.3924,-1.58903,0.0243017,-569.784
12.3903,-1.59093,0.0244676,-569.62
12.3883,-1.59286,0.0246239,-569.448
12.3862,-1.59474,0.0247816,-569.37
12.3841,-1.59663,0.0249275,-569.323
12.382,-1.59846,0.0250713,-569.151
12.3799,-1.60039,0.0252137,-568.987
12.3777,-1.60221,0.025345,-568.823
12.3756,-1.60407,0.0254767,-568.737
12.3734,-1.60592,0.0256059,-568.698
12.3712,-1.60775,0.0257261,-568.518
12.369,-1.60986,0.0258407,-568.401
12.3668,-1.61213,0.0259563,-568.237
12.3646,-1.61446,0.0260642,-568.19
12.3624,-1.6167,0.0261642,-568.065
12.3602,-1.61898,0.0262649,-567.901
12.3579,-1.62135,0.0263582,-567.768
12.3556,-1.62357,0.0264474,-567.651
12.3534,-1.62587,0.0265352,-567.471
12.3512,-1.62816,0.0266162,-567.307
12.349,-1.63047,0.0266925,-567.268
12.3468,-1.63272,0.0267644,-567.057
12.3419,-1.635,0.0268359,-566.885
12.3353,-1.63726,0.026881,-566.768
12.328,-1.63955,0.0269438,-566.682
12.321,-1.64178,0.0270035,-566.51
12.3168,-1.64442,0.0270537,-566.221
12.3148,-1.6471,0.0271036,-566.135
12.3127,-1.64975,0.0271502,-565.885
12.3107,-1.65244,0.0271964,-565.752
12.3087,-1.65506,0.0272377,-565.456
12.3067,-1.65768,0.0272758,-565.338
12.3048,-1.66029,0.0273092,-565.041
12.3029,-1.66279,0.0273406,-564.956
12.3011,-1.66532,0.0273704,-564.752
12.2993,-1.66776,0.0273926,-564.588
12.2976,-1.67025,0.0274148,-564.37
12.2959,-1.67266,0.0274349,-564.206
12.2943,-1.67528,0.0274479,-563.956
12.2928,-1.67835,0.0274834,-563.791
12.2913,-1.68142,0.0274887,-563.659
12.2898,-1.68449,0.0274997,-563.541
12.2885,-1.6876,0.0274976,-563.362
12.2871,-1.69073,0.0275184,-563.237
12.2859,-1.69384,0.0275165,-563.073
12.2847,-1.69692,0.0275102,-563.026
12.2835,-1.70006,0.0275012,-562.94
12.2824,-1.70321,0.0274963,-562.862
12.2814,-1.70632,0.0274893,-562.823
12.2804,-1.70949,0.0274733,-562.776
12.2795,-1.71269,0.0274564,-562.737
12.2786,-1.71585,0.0274415,-562.69
12.2778,-1.71906,0.0274233,-562.612
12.2771,-1.72226,0.0274079,-562.612
12.2764,-1.72546,0.0273844,-562.573
12.2757,-1.72865,0.0273651,-562.526
12.2751,-1.73182,0.0273469,-562.487
12.2745,-1.73499,0.0273304,-562.44
12.274,-1.73816,0.0273056,-562.487
12.2735,-1.74129,0.0272766,-562.362
12.2731,-1.74441,0.0272567,-562.307
12.2726,-1.74754,0.0272379,-562.229
12.2723,-1.75054,0.0272098,-562.057
12.2719,-1.75352,0.0271848,-562.026
12.2716,-1.75645,0.0271589,-561.94
12.2713,-1.75929,0.0271374,-561.807
12.2711,-1.76209,0.0271111,-561.729
12.2708,-1.76478,0.0270888,-561.526
12.2706,-1.76747,0.02706,-561.307
12.2704,-1.77002,0.0270395,-561.057
12.2703,-1.77249,0.0270146,-560.893
12.2702,-1.77491,0.0269936,-560.674
12.2701,-1.77719,0.0269756,-560.557
12.27,-1.77942,0.0269557,-560.393
12.2699,-1.78154,0.0269435,-560.213
12.2699,-1.78357,0.0269236,-560.041
